ObjectID,Latitude,Longitude,EnterpriseID,RegionalID,GeoID,OperatingStatTypeCode,OperatingFutureStatTypeCode,ServEffectiveDate,StopTypeCode,AtStreet,OnStreet,StopHeading,PositionTypeCode,LocationDesc,MessageText,InventorySurveyorTypeCode,StopInvenSurvDate,BenchCount,InfocaseOwner,BikeRacks,PostedRouteSched,PostedVicinMap,PostedRouteMap,PedPadSizeTypeCode,PedPadMaterialTypeCode,PedPadObstructTypeCode,PedPadCurbConnection,BusRearDoorPedPad,BusRearDoorPedPadObstruction,SidewalkWidth,SidewalkCurbConnection,SidewalkPedPadConnection,SidewalkSlopeWheelchairViable,SidewalkObstructionTypeCode,SidewalkImpedanceTypeCode,NearSideCurbRampSlope,NearSideCurbRamp,FarSideCurbRamp,AtStreetCurbRamp,AtStreetOppCurbRamp,OnStreetNearSideCrosswalk,OnStreetFarSideCrosswalk,AtStreetCrosswalk,AtStreetOppCrosswalk,OnStreetStopSignOrLight,OnStreetPedCrossingSignal,AtStreetPedCrossingSignal,ParkingRestrictTypeCode,NoParkingZoneLength,ConflictingNoParkingSigns,StreetLightWithin30Ft,LEDDisplay,AccessibilityRating
3321,38.891825,-76.830835,1310475,3001006,5213,PRS,NON,"DateObject[{1989, 2, 26, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,TREETOPS CONDOS,PRINCE PL,"Quantity[122, ""AngularDegrees""]",FAR,E OF ENTR TO #10123-10121PP,PRINCE PL + TREETOPS CONDOS,KFH Associates,"DateObject[{2006, 7, 26, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[4, ""Feet""]",FALSE,TRUE,FALSE,NON,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,No Parking Per Sign,,FALSE,TRUE,,FALSE
3322,38.859381,-76.959687,1309750,1000318,3296,PRS,NON,"DateObject[{1949, 5, 23, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,33RD ST SE,CAMDEN ST SE,"Quantity[90, ""AngularDegrees""]",FAR,,CAMDEN ST SE + 33RD ST SE,KFH Associates,"DateObject[{2006, 5, 12, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[6, ""Feet""]",FALSE,FALSE,FALSE,NON,UPV,"Quantity[3.9, ""Percent""]",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No Parking Per Sign,,FALSE,FALSE,,FALSE
3323,39.007366,-76.888883,1311366,3004147,17370,PRS,NON,"DateObject[{2010, 12, 15, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,LASTNER LN,IVY LN,"Quantity[110, ""AngularDegrees""]",NEA,,IVY LN + LASTNER LN,KFH Associates,"DateObject[{1900, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,WMAT,,,,,,,,,,,"Quantity[0, ""Feet""]",,,,,,,,,,,,,,,,,,,,,,,
3324,39.006566,-76.980204,1311906,3004276,18419,PRS,NON,"DateObject[{2013, 12, 29, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,NORTHAMPTON DR,NEW HAMPSHIRE AVE,"Quantity[22, ""AngularDegrees""]",NEX,80' S OF NORTHAMPTON DR,NEW HAMPSHIRE AVE + NORTHAMPTON DR,,"DateObject[{1900, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,,,,,,,,,,,,"Quantity[0, ""Feet""]",,,,,,,,,,,,,,,,,,,,,,,
3325,38.943121,-77.072553,1302247,1002380,8225,PRS,NON,"DateObject[{1952, 3, 29, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,37TH ST NW,VAN NESS ST NW,"Quantity[90, ""AngularDegrees""]",NEA,,VAN NESS ST NW + 37TH ST NW,KFH Associates,"DateObject[{2006, 4, 24, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,58U,CON,NON,TRUE,FALSE,E,"Quantity[3, ""Feet""]",FALSE,TRUE,FALSE,NON,,"Quantity[5, ""Percent""]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No Parking Per Sign,,FALSE,TRUE,,TRUE
3326,38.718776,-76.993883,1306728,3000096,98,PRS,NON,"DateObject[{1992, 6, 4, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,E TANTALLON DR,GABLE LN,"Quantity[329, ""AngularDegrees""]",FAR,80' N OF -,GABLE LN + E TANTALLON DR,KFH Associates,"DateObject[{2006, 9, 8, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[4, ""Feet""]",FALSE,FALSE,FALSE,NON,,"Quantity[6.3, ""Percent""]",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Allowed Unmarked,,,TRUE,,FALSE
3327,38.947423,-76.990321,1301856,1002474,8380,PRS,NON,"DateObject[{1954, 3, 7, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,CRITTENDEN ST NE,12TH ST NE,"Quantity[182, ""AngularDegrees""]",NEA,,12TH ST NE + CRITTENDEN ST NE,KFH Associates,"DateObject[{2006, 8, 23, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,WMAT,FALSE,TRUE,FALSE,TRUE,58U,CON,NON,TRUE,FALSE,E,"Quantity[6, ""Feet""]",FALSE,TRUE,FALSE,NON,,"Quantity[4.1, ""Percent""]",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,Allowed Unmarked,,,FALSE,,FALSE
3328,38.855476,-76.991022,1310020,1002997,12550,PRS,NON,"DateObject[{1996, 6, 27, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,#2551-2576,POMEROY RD SE,"Quantity[103, ""AngularDegrees""]",NEX,OPPO HYDRANT (SAYLES PLACE HOMES),POMEROY RD SE + #2551-2576,KFH Associates,"DateObject[{2006, 5, 9, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,,FALSE,TRUE,FALSE,TRUE,,,,,FALSE,E,"Quantity[0, ""Feet""]",,E,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,No Parking Per Sign,,FALSE,FALSE,,FALSE
3329,38.862085,-76.959115,1309730,1000359,3474,PRS,NON,"DateObject[{1941, 8, 9, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,ALABAMA AVE SE,BRANCH AVE SE,"Quantity[172, ""AngularDegrees""]",NEA,,BRANCH AVE SE + ALABAMA AVE SE,KFH Associates,"DateObject[{2006, 5, 12, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,WMAT,FALSE,TRUE,FALSE,FALSE,58U,CON,NON,TRUE,FALSE,E,"Quantity[5, ""Feet""]",TRUE,TRUE,FALSE,NON,,"Quantity[4.8, ""Percent""]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No Parking Lane,,,FALSE,,TRUE
3330,38.95909,-76.748129,1310779,3002965,14763,PRS,NON,"DateObject[{1968, 1, 15, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,LERNER PL,COLLINGTON RD,"Quantity[324, ""AngularDegrees""]",NEA,,COLLINGTON RD + LERNER PL,KFH Associates,"DateObject[{2006, 11, 21, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,E,"Quantity[0, ""Feet""]",,E,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No Parking Lane,,,FALSE,,FALSE
3331,38.937924,-76.92383,1301500,3001417,7961,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,55TH AVE,LANDOVER RD,"Quantity[118, ""AngularDegrees""]",FAR,,LANDOVER RD + 55TH AVE,KFH Associates,"DateObject[{2006, 9, 7, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,58U,CON,NON,TRUE,FALSE,E,"Quantity[5, ""Feet""]",TRUE,TRUE,FALSE,NON,,"Quantity[3.9, ""Percent""]",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,No Parking Lane,,,TRUE,,FALSE
3332,39.065918,-77.022198,1300958,2000739,11012,PRS,NON,"DateObject[{1979, 4, 26, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,SPRINGTREE DR,RANDOLPH RD,"Quantity[85, ""AngularDegrees""]",FAR,,RANDOLPH RD + SPRINGTREE DR,KFH Associates,"DateObject[{2012, 3, 2, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,NAPP,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,TRUE,FALSE,E,"Quantity[7, ""Feet""]",TRUE,FALSE,FALSE,NON,NON,"Quantity[1.5, ""Percent""]",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No Parking Per Sign,"Quantity[150, ""Feet""]",FALSE,FALSE,FALSE,FALSE
3333,39.13048,-76.992517,1300825,2001110,13026,PRS,NON,"DateObject[{2003, 3, 21, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,#16640,NEW HAMPSHIRE AVE,"Quantity[160, ""AngularDegrees""]",NEX,@ UTILITY POLE; FRT OF #16440,NEW HAMPSHIRE AVE + #16640,KFH Associates,"DateObject[{2012, 2, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,NAPP,FALSE,FALSE,FALSE,FALSE,SWK,ASP,NON,TRUE,FALSE,E,"Quantity[10, ""Feet""]",TRUE,TRUE,TRUE,NON,NON,,TRUE,TRUE,,E,FALSE,FALSE,E,E,FALSE,FALSE,FALSE,No Parking Lane,"Quantity[150, ""Feet""]",FALSE,TRUE,FALSE,TRUE
3334,38.853725,-77.101675,1303367,6000940,14598,PRS,NON,"DateObject[{2012, 4, 15, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,#1401,S GEORGE MASON DR,"Quantity[44, ""AngularDegrees""]",ATP,ADJACENT,S GEORGE MASON DR + #1401,KFH Associates,"DateObject[{2007, 2, 8, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,TRUE,FALSE,E,"Quantity[5, ""Feet""]",TRUE,TRUE,FALSE,NON,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,Allowed Unmarked,,,FALSE,,FALSE
3335,39.000822,-77.033101,1308680,2000231,10107,PRS,NON,"DateObject[{1952, 2, 20, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,BALLARD ST,GEORGIA AVE,"Quantity[321, ""AngularDegrees""]",NEA,,GEORGIA AVE + BALLARD ST,KFH Associates,"DateObject[{2012, 3, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,NAPP,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,TRUE,TRUE,FALSE,"Quantity[4, ""Feet""]",TRUE,TRUE,FALSE,NON,NON,"Quantity[10.3, ""Percent""]",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No Parking Per Sign,"Quantity[150, ""Feet""]",TRUE,FALSE,FALSE,FALSE
3336,38.790026,-77.260699,1300124,5000286,568,PRS,NON,"DateObject[{1977, 9, 4, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,KARA PL,BURKE RD,"Quantity[44, ""AngularDegrees""]",NEA,,BURKE RD + KARA PL,KFH Associates,"DateObject[{2012, 4, 19, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,NAPP,FALSE,FALSE,FALSE,FALSE,58U,CON,NON,TRUE,FALSE,E,"Quantity[4, ""Feet""]",FALSE,TRUE,TRUE,NON,UPV,"Quantity[4, ""Percent""]",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No Parking Per Sign,"Quantity[150, ""Feet""]",FALSE,FALSE,FALSE,TRUE
3337,38.819681,-77.273228,1300516,5000595,1368,PRS,NON,"DateObject[{1984, 10, 5, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,NAN MILL LN,TWINBROOK RD,"Quantity[46, ""AngularDegrees""]",,@ C&P POLE #4201G; OPPO,TWINBROOK RD + NAN MILL LN,KFH Associates,"DateObject[{2012, 5, 7, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,NAPP,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[4, ""Feet""]",FALSE,TRUE,FALSE,NON,UPV,,FALSE,FALSE,,TRUE,FALSE,FALSE,E,FALSE,FALSE,FALSE,FALSE,Allowed Unmarked,,FALSE,TRUE,FALSE,FALSE
3338,38.922582,-77.079109,1304196,1001815,7160,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,40TH ST NW,CALVERT ST NW,"Quantity[270, ""AngularDegrees""]",FAX,,CALVERT ST NW + 40TH ST NW,KFH Associates,"DateObject[{2006, 4, 21, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,WMAT,FALSE,TRUE,FALSE,TRUE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[6, ""Feet""]",FALSE,FALSE,FALSE,NON,,,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,No Parking Per Sign,,FALSE,FALSE,,FALSE
3339,38.943477,-76.901567,1301215,3001511,8247,PRS,NON,"DateObject[{1965, 10, 15, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,68TH AVE,ANNAPOLIS RD,"Quantity[45, ""AngularDegrees""]",NEX,,ANNAPOLIS RD + 68TH AVE,KFH Associates,"DateObject[{2006, 10, 5, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,58U,CON,NON,TRUE,FALSE,E,"Quantity[4, ""Feet""]",FALSE,TRUE,FALSE,NON,,"Quantity[12.8, ""Percent""]",TRUE,FALSE,,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,TRUE,No Parking Lane,,,FALSE,,
3340,38.886764,-77.17796,1302830,6000606,4859,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,N PENNSYLVANIA AVE,W BROAD ST,"Quantity[309, ""AngularDegrees""]",FAR,15' W OF LAMP POST,W BROAD ST + N PENNSYLVANIA AVE,KFH Associates,"DateObject[{2007, 5, 30, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",1,,FALSE,FALSE,FALSE,FALSE,58U,BRK,NON,TRUE,FALSE,E,"Quantity[6, ""Feet""]",FALSE,TRUE,FALSE,NON,,"Quantity[5.1, ""Percent""]",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,No Parking Lane,,,TRUE,,FALSE
3341,38.932032,-76.959515,1305538,1002107,7672,PRS,NON,"DateObject[{1946, 11, 3, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,37TH ST,EASTERN AVE NE,"Quantity[135, ""AngularDegrees""]",NEX,,EASTERN AVE NE + 37TH ST,KFH Associates,"DateObject[{2006, 8, 22, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,WMAT,FALSE,TRUE,FALSE,TRUE,58U,CON,NON,TRUE,FALSE,E,"Quantity[6, ""Feet""]",FALSE,TRUE,FALSE,NON,,"Quantity[6.6, ""Percent""]",FALSE,TRUE,,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No Parking Per Sign,,FALSE,FALSE,,
3342,39.035071,-76.863009,1300939,3002906,14701,PRS,NON,"DateObject[{2004, 9, 26, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,#426,POWDER MILL RD,"Quantity[273, ""AngularDegrees""]",MID,W OF ENTR RDWY,POWDER MILL RD + #426,KFH Associates,"DateObject[{2006, 10, 12, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,E,"Quantity[0, ""Feet""]",,E,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,TRUE,FALSE,FALSE,No Parking Lane,,,FALSE,,FALSE
3343,38.955493,-76.923036,1310967,3001672,8671,PRS,NON,"DateObject[{1949, 8, 25, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,SPRING LN,KENILWORTH AVE,"Quantity[204, ""AngularDegrees""]",NEA,250' N OF ---,KENILWORTH AVE + SPRING LN,KFH Associates,"DateObject[{2006, 9, 27, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,TRUE,FALSE,E,"Quantity[6, ""Feet""]",TRUE,TRUE,FALSE,NON,GRS,"Quantity[6.4, ""Percent""]",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,No Parking Lane,,,TRUE,,FALSE
3344,38.844249,-77.294911,1300453,5000938,2470,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,VIRGINIA ST,MAIN ST,"Quantity[278, ""AngularDegrees""]",NEX,,MAIN ST + VIRGINIA ST,Fairfax County,"DateObject[{2007, 5, 16, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,58O,BRK,NON,TRUE,FALSE,E,"Quantity[6, ""Feet""]",FALSE,TRUE,TRUE,NON,SLP,,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,No Parking Lane,,,TRUE,,FALSE
3345,39.041182,-76.985495,1300757,2001455,18119,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,#11421,LOCKWOOD DR,"Quantity[88, ""AngularDegrees""]",ATP,E OF ENTR TO APTS; E OF BIKE LA BEG SIGN,LOCKWOOD DR + WHITE OAK PARK APARTMENTS,KFH Associates,"DateObject[{2012, 2, 21, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",1,NAPP,FALSE,FALSE,FALSE,FALSE,58U,CON,NON,TRUE,TRUE,FALSE,"Quantity[4, ""Feet""]",FALSE,TRUE,FALSE,NON,NON,"Quantity[6.1, ""Percent""]",FALSE,TRUE,,E,FALSE,TRUE,E,E,FALSE,FALSE,FALSE,No Parking Per Sign,"Quantity[150, ""Feet""]",FALSE,TRUE,FALSE,
3346,38.887845,-77.022072,1307238,1000748,4957,PRS,NON,"DateObject[{2014, 8, 29, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,INDEPENDENCE AVE SW,7TH ST SW,"Quantity[180, ""AngularDegrees""]",NEA,,7TH ST SW + INDEPENDENCE AVE SW,KFH Associates,"DateObject[{2009, 7, 8, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,,FALSE,TRUE,TRUE,TRUE,58O,CON,SHL,,FALSE,E,"Quantity[6, ""Feet""]",FALSE,TRUE,FALSE,NON,,"Quantity[5.2, ""Percent""]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No Parking Per Sign,,FALSE,FALSE,,FALSE
3347,38.909707,-77.028663,1307577,1001451,6480,PRS,NON,"DateObject[{1948, 7, 4, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,LOGAN CIR NW,P ST NW,"Quantity[269, ""AngularDegrees""]",NEA,,P ST NW + LOGAN CIR NW,KFH Associates,"DateObject[{2006, 7, 25, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,WMAT,FALSE,TRUE,FALSE,TRUE,58U,BRK,NON,TRUE,FALSE,E,"Quantity[8, ""Feet""]",TRUE,TRUE,FALSE,NON,UPV,"Quantity[4.2, ""Percent""]",TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,TRUE,TRUE,TRUE,No Parking Per Sign,,FALSE,TRUE,,FALSE
3348,38.947207,-77.021113,1302209,1002472,8373,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,CRITTENDEN ST NW,SHERMAN CIR NW,"Quantity[15, ""AngularDegrees""]",NEA,,SHERMAN CIR NW + CRITTENDEN ST NW,KFH Associates,"DateObject[{2006, 3, 27, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,,FALSE,FALSE,FALSE,FALSE,<58,CON,NON,TRUE,FALSE,E,"Quantity[6, ""Feet""]",FALSE,TRUE,FALSE,NON,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No Parking Per Sign,,FALSE,TRUE,,FALSE
3349,38.76849,-77.261886,1300190,5000079,272,PRS,NON,"DateObject[{1985, 6, 30, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,ANTELOPE PL,CONSERVATION DR,"Quantity[163, ""AngularDegrees""]",NEA,,CONSERVATION DR + ANTELOPE PL,KFH Associates,"DateObject[{2012, 4, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,NAPP,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[4, ""Feet""]",FALSE,TRUE,FALSE,NON,NON,"Quantity[3.6, ""Percent""]",FALSE,FALSE,TRUE,E,FALSE,FALSE,FALSE,E,FALSE,FALSE,FALSE,Allowed Unmarked,,FALSE,FALSE,FALSE,FALSE
3350,38.765552,-77.264341,1300187,5000067,248,PRS,NON,"DateObject[{1985, 6, 30, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,COTTONTAIL CT,CONSERVATION DR,"Quantity[305, ""AngularDegrees""]",FAR,,CONSERVATION DR + COTTONTAIL CT,KFH Associates,"DateObject[{2012, 4, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,NAPP,FALSE,FALSE,FALSE,FALSE,SWK,CON,NON,FALSE,FALSE,E,"Quantity[4, ""Feet""]",FALSE,TRUE,FALSE,NON,CRK,,FALSE,FALSE,,TRUE,FALSE,FALSE,E,FALSE,TRUE,FALSE,FALSE,Allowed Unmarked,,FALSE,FALSE,FALSE,FALSE
3351,38.929768,-77.079501,1304215,1002041,7562,PRS,NON,"DateObject[{1963, 7, 15, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,#4100,CATHEDRAL AVE NW,"Quantity[123, ""AngularDegrees""]",NEA,,CATHEDRAL AVE NW + #4100,KFH Associates,"DateObject[{2009, 6, 23, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,,FALSE,TRUE,FALSE,TRUE,58O,CON,SHL,TRUE,FALSE,E,"Quantity[6, ""Feet""]",TRUE,TRUE,TRUE,UTP,SLP,"Quantity[3.8, ""Percent""]",TRUE,FALSE,,TRUE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,No Parking Lane,,,TRUE,,FALSE
3352,38.895624,-76.948668,1308167,1000987,5498,PRS,NON,"DateObject[{1941, 5, 14, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,BENNING RD NE,MINNESOTA AVE NE,"Quantity[36, ""AngularDegrees""]",FAR,210' S OF -  LIMITED STOP EXPRESS,MINNESOTA AVE NE + BENNING RD NE,KFH Associates,"DateObject[{2009, 7, 28, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",1,WMAT,FALSE,TRUE,TRUE,TRUE,58U,CON,NON,TRUE,FALSE,E,"Quantity[5, ""Feet""]",FALSE,TRUE,FALSE,NON,,"Quantity[7.2, ""Percent""]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No Parking Lane,,,FALSE,,TRUE
3353,39.084117,-77.154957,1306159,2000887,11239,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",REV,S ADAMS ST,W MONTGOMERY AVE,"Quantity[88, ""AngularDegrees""]",NEA,ROCKVILLE,W MONTGOMERY AVE + S ADAMS ST,KFH Associates,"DateObject[{2012, 2, 8, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,NAPP,FALSE,FALSE,FALSE,FALSE,<58,BRK,NON,TRUE,TRUE,FALSE,"Quantity[4, ""Feet""]",TRUE,TRUE,TRUE,NON,NON,"Quantity[6.3, ""Percent""]",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,No Parking Per Sign,"Quantity[150, ""Feet""]",FALSE,TRUE,FALSE,FALSE
3354,38.866271,-77.197275,1302406,5002126,14445,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,#7310,ARLINGTON BLVD,"Quantity[269, ""AngularDegrees""]",,OPPO LOEHMAN'S PLAZA S/C,ARLINGTON BLVD + #7310,KFH Associates,"DateObject[{2012, 4, 12, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",1,NAPP,FALSE,FALSE,FALSE,FALSE,58U,CON,NON,TRUE,FALSE,E,"Quantity[4, ""Feet""]",FALSE,TRUE,FALSE,NON,NON,"Quantity[5, ""Percent""]",TRUE,TRUE,,E,TRUE,TRUE,E,E,TRUE,TRUE,FALSE,No Parking Lane,"Quantity[150, ""Feet""]",FALSE,TRUE,FALSE,TRUE
3355,38.844096,-76.931519,1310265,3004092,17212,PRS,NON,"DateObject[{2002, 9, 29, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,BUS BAY N,SUITLAND STATION,"Quantity[144, ""AngularDegrees""]",ATP,,SUITLAND STATION + BUS BAY N,KFH Associates,"DateObject[{1900, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,,,,,,,,,,,,"Quantity[0, ""Feet""]",,,,,,,,,,,,,,,,,,,,,,,
3356,38.894962,-77.091913,1304482,6000705,5465,PRS,NON,"DateObject[{1901, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",,N CALVERT ST,LEE HWY,"Quantity[259, ""AngularDegrees""]",,BUS BAY,LEE HWY + N CALVERT ST,KFH Associates,"DateObject[{2007, 3, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -5.]",0,ARTA,FALSE,TRUE,FALSE,TRUE,SWK,CON,NON,TRUE,FALSE,E,"Quantity[7, ""Feet""]",TRUE,TRUE,FALSE,NON,,"Quantity[3.8, ""Percent""]",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,No Parking Per Sign,,FALSE,FALSE,,FALSE
